测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
podman,oe_test_podman_26,2023-02-03-05_06_53.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_27,2023-02-03-05_07_34.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_28,2023-02-03-05_08_09.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_01,2023-02-03-05_08_45.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_02,2023-02-03-05_09_23.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_03,2023-02-03-05_10_13.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_04,2023-02-03-05_10_53.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_05,2023-02-03-05_11_36.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_06,2023-02-03-05_12_17.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_07,2023-02-03-05_13_05.log,"timeout
",0,0,0,0,0,0,0,0,1
podman,oe_test_podman_DK_08,2023-02-03-05_13_54.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_09,2023-02-03-05_14_39.log,"timeout
",0,0,0,0,0,0,0,0,1
podman,oe_test_podman_DK_10,2023-02-03-05_44_46.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_11,2023-02-03-05_45_33.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_12,2023-02-03-05_46_17.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_13,2023-02-03-05_47_06.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_14,2023-02-03-05_47_53.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_15,2023-02-03-05_48_46.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
podman,oe_test_podman_DK_16,2023-02-03-05_49_29.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_DK_17,2023-02-03-05_50_19.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_18,2023-02-03-05_50_59.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_19,2023-02-03-05_51_38.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_20,2023-02-03-05_52_22.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_21,2023-02-03-05_52_55.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_22,2023-02-03-05_53_41.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_23,2023-02-03-05_54_28.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_24,2023-02-03-05_55_11.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_25,2023-02-03-05_55_57.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_26,2023-02-03-05_56_36.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_27,2023-02-03-05_57_19.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_DK_28,2023-02-03-05_57_55.log,,0,0,0,0,0,0,0,0,0
